All values for 5 exponent bits (bias = 15) and 9 fraction bits

NORMALIZED
E=-14
  M = 1.000000, val=0.0000610351562500000000000
  M = 1.001953, val=0.0000611543655395507812500
  M = 1.003906, val=0.0000612735748291015625000
  M = 1.005859, val=0.0000613927841186523437500
  M = 1.007812, val=0.0000615119934082031250000
  M = 1.009766, val=0.0000616312026977539062500
  M = 1.011719, val=0.0000617504119873046875000
  M = 1.013672, val=0.0000618696212768554687500
  M = 1.015625, val=0.0000619888305664062500000
  M = 1.017578, val=0.0000621080398559570312500
  M = 1.019531, val=0.0000622272491455078125000
  M = 1.021484, val=0.0000623464584350585937500
  M = 1.023438, val=0.0000624656677246093750000
  M = 1.025391, val=0.0000625848770141601562500
  M = 1.027344, val=0.0000627040863037109375000
  M = 1.029297, val=0.0000628232955932617187500
  M = 1.031250, val=0.0000629425048828125000000
  M = 1.033203, val=0.0000630617141723632812500
  M = 1.035156, val=0.0000631809234619140625000
  M = 1.037109, val=0.0000633001327514648437500
  M = 1.039062, val=0.0000634193420410156250000
  M = 1.041016, val=0.0000635385513305664062500
  M = 1.042969, val=0.0000636577606201171875000
  M = 1.044922, val=0.0000637769699096679687500
  M = 1.046875, val=0.0000638961791992187500000
  M = 1.048828, val=0.0000640153884887695312500
  M = 1.050781, val=0.0000641345977783203125000
  M = 1.052734, val=0.0000642538070678710937500
  M = 1.054688, val=0.0000643730163574218750000
  M = 1.056641, val=0.0000644922256469726562500
  M = 1.058594, val=0.0000646114349365234375000
  M = 1.060547, val=0.0000647306442260742187500
  M = 1.062500, val=0.0000648498535156250000000
  M = 1.064453, val=0.0000649690628051757812500
  M = 1.066406, val=0.0000650882720947265625000
  M = 1.068359, val=0.0000652074813842773437500
  M = 1.070312, val=0.0000653266906738281250000
  M = 1.072266, val=0.0000654458999633789062500
  M = 1.074219, val=0.0000655651092529296875000
  M = 1.076172, val=0.0000656843185424804687500
  M = 1.078125, val=0.0000658035278320312500000
  M = 1.080078, val=0.0000659227371215820312500
